990;79627778;26;Nicoli;Dex;Western Sahara
495;79831432;8;Gwennth;Isidore;Antigua eand Barbuda
370;79887122;16;Theodora;Pearse;New Caledonia
534;79657442;36;Kylynn;Connelly;Solomon Islands
149;79107754;18;Benita;Ovid;Liberia
984;79608750;10;Hope;Yate;Guinea-Bissau
367;79875142;23;Amii;Karna;South Georgia and the South Sandwich Islands
218;79401569;33;Vivia;Pond;Egypt
237;79486804;23;Cherilyn;Oriana;Denmark
425;79294867;31;Phylis;Chick;Zimbabwe
692;79308761;25;Ada;Harned;South Africa
868;79469085;3;Fawne;Roscoe;Antarctica
421;79070122;8;Deirdre;Ortrude;Bhutan
367;79831244;10;Frank;Garlinda;Syrian Arab Republic
816;79606861;24;Shaine;Brian;Cape Verde
619;79705305;7;Carol-Jean;Fosque;Turkey
653;79509059;34;Brana;Reneta;Qatar
841;79027100;30;Kalina;Romelda;Malawi
956;79454917;19;Bill;Letsou;Congo, The Democratic Republic of the
199;79308664;17;Kathi;Leopold;Swaziland
875;79009271;10;Mireielle;Bibi;Guyana
621;79484884;33;Tabbatha;Serilda;Algeria
722;79954149;39;Basia;Erminia;Algeria
887;79867563;21;Fidelia;Kathie;Zambia
381;79984240;40;Gerianna;Strephon;Austria
627;79200630;14;Harmonia;Mike;Saudi Arabia
211;79453956;18;Gale;Graig;French Southern Territories
712;79840916;12;Nariko;Kristi;Slovakia
700;79724201;24;Betta;Magnolia;Finland
136;79452207;36;Merle;Morehouse;Angola
565;79211208;4;Georgetta;Trace;Mauritania
667;79685355;40;Layla;Lanita;Aruba
378;79506457;9;Fredericka;Shaddock;Cambodia
743;79585319;3;Vonny;Garbe;Saint Lucia
331;79501531;29;Sharlene;Syd;Slovakia
951;79557474;35;Ursulina;Baptlsta;Virgin Islands, British
568;79035312;18;Olwen;Maples;Belize
726;79519187;17;Heddie;Bryna;Micronesia, Federated States of
283;79150451;2;Karlee;Pettiford;Burundi
773;79421419;33;Lindie;Ursulette;Monaco
128;79749256;32;Aurore;Karna;United Arab Emirates
869;79096134;13;Nariko;Sprage;Turks and Caicos Islands
308;79290653;13;Jeanna;Mich;Mexico
315;79111458;32;Mary;Morgun;Slovakia
737;79267230;11;Theodora;Raseda;Mongolia
427;79597476;12;Dorthy;Warthman;French Polynesia
464;79608801;31;Kore;Liebermann;Kuwait
326;79861187;21;Laure;Annabella;Syrian Arab Republic
727;79752362;39;Leeanne;Screens;Maldives
963;79432728;25;Lucy;Firmin;Cape Verde
430;79867999;35;Laurene;Dominy;India
864;79068375;22;Carlie;Peti;Mali
867;79051448;17;Kelly;Seessel;Malawi
748;79086444;16;Cecile;Isacco;Ireland
933;79186816;21;Reeba;Teryn;Gabon
683;79749822;14;Lila;Jacinda;Slovenia
847;79182162;19;Susette;Si;Paraguay
347;79884763;25;Jinny;Fredi;Jordan
443;79387684;4;Joeann;Eben;El Salvador
215;79877384;10;Ivett;Roumell;Saint Helena
626;79027080;7;Ileana;Parsaye;New Caledonia
448;79224278;20;Melodie;Bury;Tokelau
124;79621637;20;Tomasina;Si;New Caledonia
811;79344424;13;Adele;Zachary;Germany
973;79912600;8;Lacie;Drus;Jamaica
697;79891586;1;Beth;Barney;Cambodia
299;79143274;24;Tybie;Ivens;Uganda
219;79515333;4;Libbie;Olnee;Bhutan
875;79707906;34;Kaja;Rebecka;Holy See (Vatican City State)
679;79579252;20;Feliza;Diann;Albania
229;79132877;31;Lauryn;Bigner;Croatia
842;79562535;18;Rebeca;Merriott;Aruba
439;79683208;7;Cordi;Dorine;Pitcairn
493;79786177;36;Gerianna;Dosia;Bolivia
589;79009517;27;Thalia;Arquit;Sierra Leone
732;79575796;13;Chrystel;Maroney;Venezuela
978;79269210;29;Catharine;Sheedy;Serbia and Montenegro
921;79061891;33;Marleah;Lilybelle;Iceland
864;79662873;30;Berget;Adalbert;Antigua and Barbuda
278;79742701;24;Corene;Chesna;British Indian Ocean Territory
463;79709973;19;Inga;Xerxes;Macedonia, The Former Yugoslav Republic of
779;79645241;15;Glenda;Birdella;RWANDA
949;79291423;23;Tamqrah;Kravits;Tajikistan
322;79266203;32;Justinn;Marijo;Belgium
527;79807156;17;Rhoda;Bandeen;Belarus
474;79345156;38;Annabela;Harriman;Slovakia
660;79395658;9;Daryl;Felecia;Denmark
151;79702989;10;Arlena;Imelida;Samoa
532;79136759;33;Gabriellia;Leonard;Netherlands Antilles
156;79527328;19;Roxane;Leary;Burundi
714;79793827;37;Vonny;Lacombe;Western Sahara
159;79259696;30;Kristina;Sikorski;Singapore
146;79195707;37;Lynnea;Therine;Finland
869;79888186;1;Oona;Ledah;Azerbaijan
876;79297404;30;Loree;Pattin;Ethiopia
591;79721808;11;Joleen;Septima;Jordan
480;79821243;23;Tatiania;Gherardo;Peru
338;79665325;33;Briney;Emanuel;Bahrain
